"Label","ID","Detection quality","Spot N links","Spot center intensity","Spot center intensity","Spot frame","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot intensity","Spot position","Spot position","Spot position","Spot quick mean","Spot quick mean","Spot radius","Spot track ID","Track N spots","AP","AP","Somite","Somite"
"",""," "," ","Center ch1","Center ch2"," ","Mean ch1","Std ch1","Min ch1","Max ch1","Median ch1","Sum ch1","Mean ch2","Std ch2","Min ch2","Max ch2","Median ch2","Sum ch2","X","Y","Z","Mean ch1","Mean ch2"," "," "," ","Anterior","Posterior","16","17"
"","","","","(Counts)","(Counts)","","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(Counts)","(micron)","(micron)","(micron)","(Counts)","(Counts)","(micron)","","","","","",""
"32","32","","2","186.9515485665728","4814.383724668607","98","186.1443894389439","20.190908253286636","131.0","216.0","185.0","225607.0","4542.259900990099","594.641731391928","3089.0","6309.0","4533.0","5505219.0","309.95137689922143","591.2286480319187","127.58982095235451","187.0","4049.6","3.676011030057441","0","132","0","1","1","0"
"33","33","","2","191.4390848283952","4827.756095762984","97","190.88398692810458","20.243479637155858","139.0","196.0","190.0","233642.0","4576.421568627451","550.0535843001678","3290.0","7296.0","4575.0","5601540.0","309.97305615443764","590.5257930293055","127.49037045649845","188.4","4170.6","3.676011030057441","0","132","0","1","1","0"
"34","34","","2","196.5116739057987","4934.179539281679","96","195.10147299509","21.542853267453648","136.0","218.0","194.0","238414.0","4692.961538461538","539.1480913136621","3400.0","5898.0","4702.0","5734799.0","309.4359723133626","589.7145054546457","127.19019580928774","190.83333333333334","3894.5","3.676011030057441","0","132","0","1","1","0"
"35","35","","2","202.18785968032952","4945.863500155646","95","200.92764227642277","22.815219110887103","137.0","190.0","199.0","247141.0","4724.673170731708","543.8801983435604","3297.0","7294.0","4767.0","5811348.0","308.97884485056204","589.9557583982279","127.07602671960352","200.33333333333334","4007.5","3.676011030057441","0","132","0","1","1","0"
"36","36","","2","204.72792689966053","4907.1679484435","94","203.37397708674305","23.545451410459837","139.0","189.0","201.0","248523.0","4627.933715220949","610.962405654223","3178.0","7467.0","4637.0","5655335.0","309.38507914050103","589.7051384026885","127.36885193950587","206.16666666666666","4130.833333333333","3.676011030057441","0","132","0","1","1","0"
"37","37","","2","212.6019290750782","5208.430547135631","93","211.2295358649789","25.1279423153586","125.0","232.0","209.0","250307.0","4876.4827004219405","730.5795435859235","3039.0","5680.0","4894.0","5778632.0","309.1962607103304","588.5371973696888","127.12944148559431","207.4","4183.4","3.676011030057441","0","132","0","1","1","0"
"38","38","","2","218.201892819541","5098.332426717443","92","215.47010647010646","26.536862065197973","150.0","249.0","214.0","263089.0","4751.621621621622","676.5984832469863","3003.0","6037.0","4730.0","5801730.0","308.9496309329167","589.2435363436575","127.15523235396557","211.0","4153.6","3.676011030057441","0","132","0","1","1","0"
"39","39","","2","232.79925803646","4741.454639007182","91","230.83026755852842","31.0922846154183","150.0","265.0","228.0","276073.0","4491.626254180602","599.7503315523631","3001.0","6054.0","4483.0","5371985.0","308.12277327347357","587.2853372656383","127.29999463124228","229.66666666666666","4143.333333333333","3.676011030057441","0","132","0","1","1","0"
"40","40","","2","236.87850028422665","4807.977914183885","90","234.56239460370995","35.04408173728563","145.0","190.0","232.0","278191.0","4566.114671163575","651.4689836273536","2643.0","6479.0","4597.0","5415412.0","307.48405379890784","586.1243641753498","126.91326492236115","250.0","4174.4","3.676011030057441","0","132","0","1","1","0"
"41","41","","2","251.13064291844984","4839.430582199156","89","251.04497138184792","38.58092995188861","160.0","193.0","247.0","307028.0","4626.25102207686","539.9399917680603","3157.0","6804.0","4625.0","5657905.0","307.48405379890784","586.1243641753498","126.91326492236115","255.8","4185.2","3.676011030057441","0","132","0","1","1","0"
"42","42","","2","267.4180427931887","4786.697026395554","88","265.99670510708404","47.017037367531024","151.0","190.0","260.0","322920.0","4577.824546952224","602.3629040031656","2976.0","6807.0","4613.0","5557479.0","306.8525607427475","584.7291060841902","126.49338504819465","273.0","4076.1666666666665","3.676011030057441","0","132","0","1","1","0"
"43","43","","2","284.66694098334045","4921.848208778278","87","284.4915074309979","51.46852398061653","176.0","272.0","277.0","267991.0","4715.778131634819","528.159168185981","3407.0","4990.0","4764.0","4442263.0","306.948768638237","584.0076403330193","126.3567666231605","292.8","4339.8","3.3418282091431273","0","132","0","1","1","0"
"44","44","","2","296.56308935584696","4929.961899910505","86","292.86599241466496","48.00711702506378","191.0","451.0","288.0","231657.0","4656.155499367888","614.4177112442358","3317.0","5311.0","4598.0","3683019.0","306.5916579186435","584.4080889119783","126.75399255162573","277.0","4079.6666666666665","3.186308177103567","0","132","0","1","1","0"
"45","45","","2","290.44594818424196","4624.166880690542","85","285.63084112149534","46.504315290444424","176.0","409.0","284.0","183375.0","4405.051401869159","425.27510652574193","3552.0","4932.0","4364.0","2828043.0","305.67844046981406","583.2238133360228","125.79580376907772","268.6666666666667","3904.0","2.896643797366879","0","132","0","1","1","0"
"46","46","","2","302.45396125548007","4523.251146741215","84","297.0955585464334","43.45723515738814","193.0","429.0","296.0","220742.0","4309.1884253028265","526.0208450314727","3157.0","4669.0","4298.0","3201727.0","305.0256530756642","581.788526992422","125.78951564379183","292.25","3925.25","3.03802564467557","0","132","0","1","1","0"
"47","47","","2","319.5548203984798","4364.651827153015","83","308.29769736842104","49.37452465562799","176.0","176.0","306.0","187445.0","4208.667763157895","343.1376659678466","3227.0","5409.0","4208.0","2558870.0","304.1010910456891","580.9948664288074","125.61844482551537","275.6666666666667","3810.6666666666665","2.896643797366879","0","132","0","1","1","0"
"48","48","","2","318.33338391047045","3890.7644788806374","82","306.5608766233766","53.484294970502106","176.0","213.0","305.0","377683.0","3778.8327922077924","350.552185461856","2617.0","6690.0","3771.0","4655522.0","302.50368921851504","580.331096754984","126.21524823007347","334.0","3909.25","3.676011030057441","0","132","0","1","1","0"
"49","49","","2","367.6589970664041","4060.296560144393","81","346.9386753883892","69.74835760377448","170.0","238.0","348.0","424306.0","3912.4709730171708","397.20232007951364","2716.0","7743.0","3868.0","4784952.0","300.29125167854386","578.9350501107347","127.41645384842181","309.3333333333333","3632.8333333333335","3.676011030057441","0","132","0","1","1","0"
"50","50","","2","438.6822356135945","4208.9055466986465","80","398.04046242774564","103.40367425310475","191.0","250.0","384.0","482027.0","4045.6705202312137","463.5602054540899","2956.0","7584.0","4026.0","4899307.0","298.96322780057466","578.2530989362548","126.87504558765701","325.8","4066.6","3.676011030057441","0","132","0","1","1","0"
"51","51","","2","553.3560381670997","4313.713729409408","79","511.4812343619683","134.1929482203308","212.0","270.0","507.0","613266.0","4138.037531276063","452.4153406919345","3087.0","7098.0","4159.0","4961507.0","299.37699675294283","579.417555997899","127.18811566905336","378.5","3798.0","3.676011030057441","0","132","0","1","1","0"
"52","52","","2","641.2795730600478","4256.730839758121","78","574.889724310777","155.75524665065015","269.0","311.0","550.0","688143.0","4082.9874686716794","416.23833338278985","3036.0","7094.0","4070.0","4887336.0","299.6091736935458","579.1797870256723","127.2286251312528","421.4","3719.8","3.676011030057441","0","132","0","1","1","0"
"53","53","","2","781.3670557670267","4497.166289796564","77","702.7767558528428","213.37802978082982","292.0","379.0","700.0","840521.0","4288.084448160535","511.9859311537388","2700.0","7129.0","4305.0","5128549.0","298.71659802316094","578.9594379102234","126.90083645602829","506.3333333333333","3703.3333333333335","3.676011030057441","0","132","0","1","1","0"
"54","54","","2","894.6210002811075","4196.004547017461","76","794.6730769230769","212.00986629973778","395.0","312.0","787.0","950429.0","3962.377090301003","496.9652159706432","2475.0","4218.0","3960.0","4739003.0","300.0146801855152","579.4411079387638","126.41794557282863","541.1666666666666","3760.6666666666665","3.676011030057441","0","132","0","1","1","0"
"55","55","","2","911.7162194695652","4352.754885468744","75","815.1808333333333","216.20288976003388","358.0","572.0","801.0","978217.0","4110.175","542.5766464036986","2661.0","7294.0","4139.0","4932210.0","298.48022310716516","577.5819330435879","126.18959577837296","567.8","3706.0","3.676011030057441","0","132","0","1","1","0"
"56","56","","2","811.1209010200212","4009.015607570124","74","750.7098360655738","142.20570342039358","381.0","594.0","754.0","915866.0","3828.783606557377","450.20565246289544","2637.0","6229.0","3822.0","4671116.0","297.6710172479279","577.1610343064089","128.1422452213147","631.625","3598.75","3.676011030057441","0","132","0","1","1","0"
"57","57","","2","942.0188574435798","3813.957579470885","73","871.5067567567568","156.14445363931807","485.0","863.0","864.0","1031864.0","3663.9070945945946","334.08835061842456","2661.0","4324.0","3654.0","4338066.0","298.7101449502318","576.6018736344173","127.6217382327539","688.3333333333334","3501.1666666666665","3.676011030057441","0","132","0","1","1","0"
"58","58","","2","1025.0522366691914","3907.4930415467925","72","945.464553794829","180.5559172898916","526.0","999.0","934.0","1133612.0","3728.9224353628024","419.2608825478457","2611.0","4270.0","3730.0","4470978.0","298.50772588568765","576.9663135541157","127.24504887746232","812.5","3651.75","3.676011030057441","0","132","0","1","1","0"
"59","59","","2","933.770670608852","3556.203728048332","71","881.6105087572978","134.28056961185226","514.0","1003.0","873.0","1057051.0","3445.764804003336","454.79119727350695","2437.0","4126.0","3423.0","4131472.0","298.32418043846513","577.4147100245176","128.31571200374106","791.75","3323.0","3.676011030057441","0","132","0","1","1","0"
"60","60","","2","1041.0977243556845","3752.7025352287583","70","970.2738549618321","158.22949614850484","546.0","590.0","997.0","1016847.0","3611.992366412214","592.9555260819392","2325.0","3690.0","3653.0","3785368.0","298.71825647814256","577.1858352428305","128.06370636064247","830.5","3249.75","3.504938994813924","0","132","0","1","1","0"
"61","61","","2","1196.5884135267668","4403.0330337923415","69","1107.889721627409","202.87517913229556","606.0","693.0","1083.0","1034769.0","4163.174518201285","557.1418339178288","2560.0","3837.0","4158.0","3888405.0","299.10637692510073","577.0213976530589","126.52978578021144","913.75","3482.75","3.3418282091431273","0","132","0","1","1","0"
"62","62","","2","1245.797566685389","4773.997642462924","68","1124.9311502938706","271.73514718143787","562.0","1943.0","1098.0","1339793.0","4432.287153652393","752.3453143971432","2467.0","5865.0","4372.0","5278854.0","300.12675361700144","577.1797724978851","124.64036659856727","885.4","3711.2","3.676011030057441","0","132","0","1","1","0"
"63","63","","2","1255.785160165771","4647.474012285336","67","1126.2922932330828","259.38789677656825","513.0","1202.0","1118.0","1198375.0","4304.777255639097","803.5982637669413","2261.0","3992.0","4357.0","4580283.0","300.35652079437733","576.5203954348693","123.75901835337888","921.6","3530.8","3.504938994813924","0","132","0","1","1","0"
"64","64","","2","1264.1237492388095","4845.820681417844","66","1139.867469879518","251.90217726186827","580.0","754.0","1131.0","1229917.0","4514.628359592215","762.749069374294","2388.0","4128.0","4528.0","4871284.0","300.4222654291466","576.3685362804648","124.30047143868559","845.0","3648.6","3.504938994813924","0","132","0","1","1","0"
